bo_sach	lop	mon	ten_bai	tac_gia	rag_kind	rag_len	latency_s
KNTT	Lớp 1	Tiếng Việt	Đôi tai xấu xí		MISS	215	2.6
KNTT	Lớp 1	Tiếng Việt	Bạn của gió		RECITE(json)	934	1.7
KNTT	Lớp 1	Tiếng Việt	Giải thưởng tình bạn		MISS	221	2.6
KNTT	Lớp 1	Tiếng Việt	Sinh nhật của voi con		RECITE(json)	690	3.3
KNTT	Lớp 1	Tiếng Việt	Nụ hôn trên bàn tay		MISS	220	4.4
KNTT	Lớp 1	Tiếng Việt	Cả nhà đi chơi núi		MISS	219	4.5
KNTT	Lớp 1	Tiếng Việt	Đi học		RECITE(json)	632	4.6
KNTT	Lớp 1	Tiếng Việt	Cây bàng và lớp học		MISS	220	3.6
KNTT	Lớp 1	Tiếng Việt	Bác trống trường		MISS	217	3.6
KNTT	Lớp 1	Tiếng Việt	Nếu không may bị lạc		MISS	221	4.3
KNTT	Lớp 1	Tiếng Việt	Đèn giao thông		MISS	215	3.6
KNTT	Lớp 1	Tiếng Việt	Kiến và chim bồ câu		MISS	220	4.3
KNTT	Lớp 1	Tiếng Việt	Câu chuyện của rễ		MISS	218	4.9
KNTT	Lớp 1	Tiếng Việt	Câu hỏi của sói		MISS	216	5.3
KNTT	Lớp 1	Tiếng Việt	Chú bé chăn cừu		MISS	216	5.2
KNTT	Lớp 1	Tiếng Việt	Loài chim của biển cả		RECITE(json)	6589	6.2
KNTT	Lớp 1	Tiếng Việt	Bảy sắc cầu vồng		MISS	217	5.9
KNTT	Lớp 1	Tiếng Việt	Chúa tể rừng xanh		MISS	218	6.0
KNTT	Lớp 1	Tiếng Việt	Cuộc thi tài năng rừng xanh		MISS	228	6.4
KNTT	Lớp 1	Tiếng Việt	Cây liễu dẻo dai		MISS	217	6.5
KNTT	Lớp 1	Tiếng Việt	Tia nắng đi đâu?		MISS	217	6.5
KNTT	Lớp 1	Tiếng Việt	Trong giấc mơ buổi sáng		MISS	224	6.9
KNTT	Lớp 1	Tiếng Việt	Những cánh cò		RECITE(json)	625	5.7
KNTT	Lớp 1	Tiếng Việt	Lớn lên bạn làm gì?		MISS	220	4.9
KNTT	Lớp 1	Tiếng Việt	Du lịch biển Việt Nam		RECITE(json)	653	6.5
KNTT	Lớp 10	Ngữ văn	Chữ người tử tù	Nguyễn Tuân	RECITE(json)	13468	6.0
KNTT	Lớp 10	Ngữ văn	Chùm thơ hai-cư (haiku) Nhật Bản		MISS	233	5.9
KNTT	Lớp 10	Ngữ văn	Truyện về các vị thần sáng tạo thế giới	Thần thoại Việt Nam	RECITE(json)	6827	13.2
KNTT	Lớp 10	Ngữ văn	Tê-dê	Ê-đi Ha-min-tơn kể	RECITE(json)	9729	9.0
KNTT	Lớp 10	Ngữ văn	Thế giới mạng & tôi	Nguyễn Thị Hậu	RECITE(json)	3513	8.3
KNTT	Lớp 10	Ngữ văn	Múa rối nước – hiện đại soi bóng tiền nhân	Phạm Thuỳ Dung	RECITE(json)	4224	2.2
KNTT	Lớp 10	Ngữ văn	Người cầm quyền khôi phục uy quyền	Víchto Huy-gô	MISS	233	2.7
KNTT	Lớp 10	Ngữ văn	Nghệ thuật truyền thống của người Việt	Nguyễn Văn Huyên	RECITE(json)	9315	3.3
KNTT	Lớp 11	Ngữ văn	Chí Phèo	Nam Cao	RECITE(json)	25717	2.9
KNTT	Lớp 11	Ngữ văn	Cầu hiền chiếu	Ngô Thì Nhậm	MISS	215	2.1
KNTT	Lớp 11	Ngữ văn	Một thời đại trong thi ca	Hoài Thanh	RECITE(json)	6192	4.4
KNTT	Lớp 11	Ngữ văn	Prô-mê-tê bị xiềng	Ét-sin	MISS	220	2.4
KNTT	Lớp 11	Ngữ văn	Ai đã đặt tên cho dòng sông?	Hoàng Phủ Ngọc Tường	RECITE(json)	12564	3.8
KNTT	Lớp 11	Ngữ văn	Cà Mau quê xứ	Trần Tuấn	RECITE(json)	10194	6.5
KNTT	Lớp 11	Ngữ văn	Nữ phóng viên đầu tiên	Trần Nhật Vy	RECITE(json)	7278	7.3
KNTT	Lớp 11	Ngữ văn	Ca nhạc ở Miệt Vườn	Sơn Nam	RECITE(json)	7433	3.1
KNTT	Lớp 12	Ngữ văn	Nỗi buồn chiến tranh	Bảo Ninh	RECITE(json)	11808	3.9
KNTT	Lớp 12	Ngữ văn	Nhìn về vốn văn hoá dân tộc	Trần Đình Hượu	RECITE(json)	6169	4.4
KNTT	Lớp 12	Ngữ văn	Cảm hứng và sáng tạo	Nguyễn Trần Bạt	MISS	221	3.7
KNTT	Lớp 12	Ngữ văn	Năng lực sáng tạo	Phan Đình Diệu	RECITE(json)	7693	5.4
KNTT	Lớp 12	Ngữ văn	Hải khẩu linh từ – Đền thiêng cửa bể	Đoàn Thị Điểm	MISS	237	2.7
KNTT	Lớp 12	Ngữ văn	Muối của rừng	Nguyễn Huy Thiệp	RECITE(json)	15413	3.4
KNTT	Lớp 12	Ngữ văn	Vọng nguyệt	Hồ Chí Minh	MISS	212	2.7
KNTT	Lớp 12	Ngữ văn	Nghệ thuật băm thịt gà	Ngô Tất Tố	RECITE(json)	8741	2.7
KNTT	Lớp 12	Ngữ văn	Vĩ tuyến 17	Xuân Phượng	RECITE(json)	8727	4.8
KNTT	Lớp 12	Ngữ văn	Sách thay đổi lịch sử loài người	Vũ Đức Liêm	RECITE(json)	7081	4.0
KNTT	Lớp 12	Ngữ văn	Hồn Trương Ba, da hàng thịt	Lưu Quang Vũ	RECITE(json)	25126	3.8
KNTT	Lớp 12	Ngữ văn	Khúc đồng quê	Đặng Thị Hạnh	RECITE(json)	6353	5.0
KNTT	Lớp 2	Tiếng Việt	Niềm vui của Bi và Bống		MISS	224	5.0
KNTT	Lớp 2	Tiếng Việt	Làm việc thật là vui		MISS	221	4.8
KNTT	Lớp 2	Tiếng Việt	Em có xinh không?		MISS	218	5.3
KNTT	Lớp 2	Tiếng Việt	Một giờ học		MISS	212	3.9
KNTT	Lớp 2	Tiếng Việt	Cây xấu hổ		MISS	211	4.6
KNTT	Lớp 2	Tiếng Việt	Cầu thủ dự bị		MISS	214	5.8
KNTT	Lớp 2	Tiếng Việt	Thời khoá biểu		MISS	215	5.7
KNTT	Lớp 2	Tiếng Việt	Cuốn sách của em		RECITE(json)	7759	5.2
KNTT	Lớp 2	Tiếng Việt	Tớ nhớ cậu		RECITE(json)	795	5.7
KNTT	Lớp 2	Tiếng Việt	Nhím nâu kết bạn		MISS	217	5.1
KNTT	Lớp 2	Tiếng Việt	Thả diều		MISS	209	6.0
KNTT	Lớp 2	Tiếng Việt	Tớ là lê-gô		MISS	212	5.6
KNTT	Lớp 2	Tiếng Việt	Rồng rắn lên mây		MISS	217	6.3
KNTT	Lớp 2	Tiếng Việt	Sự tích hoa tỉ muội		MISS	220	5.5
KNTT	Lớp 2	Tiếng Việt	Em mang về yêu thương		RECITE(json)	1247	5.7
KNTT	Lớp 2	Tiếng Việt	Trò chơi của bố		RECITE(json)	2784	5.3
KNTT	Lớp 2	Tiếng Việt	Thương ông		MISS	211	4.7
KNTT	Lớp 2	Tiếng Việt	Ánh sáng của yêu thương		RECITE(json)	16245	5.1
KNTT	Lớp 2	Tiếng Việt	Chơi chong chóng		MISS	217	6.3
KNTT	Lớp 2	Tiếng Việt	Chuyện bốn mùa		MISS	215	6.2
KNTT	Lớp 2	Tiếng Việt	Mùa nước nổi		RECITE(json)	4954	7.3
KNTT	Lớp 2	Tiếng Việt	Hoạ mi hót		MISS	211	6.7
KNTT	Lớp 2	Tiếng Việt	Tết đến rồi		MISS	212	6.5
KNTT	Lớp 2	Tiếng Việt	Mùa vàng		RECITE(json)	648	7.8
KNTT	Lớp 2	Tiếng Việt	Vè chim		MISS	208	5.6
KNTT	Lớp 2	Tiếng Việt	Khủng long		MISS	211	5.8
KNTT	Lớp 2	Tiếng Việt	Sự tích cây thì là		MISS	219	5.3
KNTT	Lớp 2	Tiếng Việt	Tiếng chổi tre		RECITE(json)	241	5.3
KNTT	Lớp 2	Tiếng Việt	Cỏ non cười rồi		MISS	212	5.5
KNTT	Lớp 2	Tiếng Việt	Những con sao biển		MISS	219	6.1
KNTT	Lớp 2	Tiếng Việt	Tạm biệt cánh cam		MISS	218	6.8
KNTT	Lớp 2	Tiếng Việt	Những cách chào độc đáo		MISS	224	6.6
KNTT	Lớp 2	Tiếng Việt	Thư viện biết đi		MISS	217	6.5
KNTT	Lớp 2	Tiếng Việt	Cảm ơn anh hà mã		MISS	217	7.1
KNTT	Lớp 2	Tiếng Việt	Từ chú bồ câu đến in-tơ-nét		MISS	227	7.9
KNTT	Lớp 2	Tiếng Việt	Mai An Tiêm		MISS	212	7.6
KNTT	Lớp 2	Tiếng Việt	Bóp nát quả cam		MISS	216	7.4
KNTT	Lớp 2	Tiếng Việt	Chiếc rễ đa tròn		MISS	217	6.4
KNTT	Lớp 2	Tiếng Việt	Đất nước chúng mình		MISS	220	6.6
KNTT	Lớp 2	Tiếng Việt	Trên các miền đất nước		MISS	223	6.7
KNTT	Lớp 2	Tiếng Việt	Chuyện quả bầu		MISS	215	7.5
